,PC1,PC2,PC3,PC4
SZL,0.04822589987683282,0.07608409395373075,0.013919915101961708,-0.0038745833732454194
TBC,-0.01446423183578689,0.12231129556756165,0.00020449700316376712,0.047824086714995495
TCB,0.06608753104210782,-0.04444425797817954,0.0337844561148587,-0.02349685715858678
TCD,0.0691428993100139,-0.013088357597012278,0.015592941041621115,0.05919355868646864
TCH,0.05786839645383019,0.06567285505197652,-0.025470102217858028,-0.06779846055298742
TCI,0.05718228771977204,0.0727750367457391,-0.033422122073348944,-0.03182947874563946
TCO,0.06590023914220905,-0.027576945482776272,-0.026961304551247626,-0.0796739501886694
TCT,0.05086428702954349,-0.08083633662241681,-0.007429216179093631,-0.045997689918339156
TDC,0.05856661231333036,-0.033384503875724926,-0.03070856372461714,0.038079150472602415
TDG,0.0674203304212103,-0.035735288089544494,0.030890489156185273,0.03362164576259332
TDH,0.06921192399339204,0.007693653702952773,0.0005478149493332908,0.024603184972905055
TDM,0.009356759581728727,0.0998724024567351,0.06405743917286971,0.07751853451604743
TDP,-0.03295416108652582,0.08540084400407104,-0.04876053632614782,0.07080969013536949
TEG,0.057373095888136806,0.05853774332154018,-0.05820392032583954,-0.009016210241971957
THG,0.0669920317126193,0.018555366039242707,-0.01968788087944609,0.02440301656762567
TIP,0.06533776145193247,0.039763496105274056,0.045112786185161756,-0.0034570719605790854
TLD,0.06930897016385801,0.01398333099520128,0.02796102867948079,-0.038537916171957204
TLH,0.06853910894237548,0.025401768370278854,-0.027002599388465602,0.027237007904774613
TMP,0.02190108296907994,0.09673178939208035,0.06704018207054839,-0.08481500620850682
TMS,0.0642006802681921,-0.032419987122328166,0.03068957399526261,-0.07285506349390218
TMT,0.03112316560852386,0.014676923894097022,0.027220486240714825,0.2300627860763494
TN1,0.06530658173622295,-0.04602132997123423,0.019540240258230666,-0.03753917590454007
TNH,0.054333127452138266,-0.021622044373995165,-0.06774064811907653,0.1071528663508817
TNI,0.0639695603340165,-0.054075079049110235,0.004641247455643321,0.016167422683673046
TNT,0.06902606264661909,-0.016341842577854714,0.035101715002896175,0.04215676270372806
TPB,0.06582626492738287,0.033882535655622936,-0.05731184196837675,0.020344612237822576
TRA,0.029750028729802553,-0.080538644996304,-0.06895080893209175,-0.002575057791130426
TRC,0.06855374148397769,-0.017557880259303448,0.03482889585629346,-0.03622175772053791
TSC,0.06810837153446558,-0.03340803746037202,0.005641791201860872,0.046589957151044636
TTA,0.06289608378660666,-0.050908158011497034,-0.017045636246853714,-0.04894388389969232
TTF,0.0657452654693145,-0.0427866701449005,0.025556625635752436,0.052512413172472815
TV2,0.05175188415635338,0.0844889341357676,0.0014820867357297992,-0.01988392476325424
TVB,0.07059691008289232,0.0001848767589465927,-0.033803176546546444,-0.03439943174148055
TVS,0.06529669634619656,0.032649008727953344,-0.009185642131523734,0.027475529162894693
TVT,0.05023001748116298,-0.08656216028962559,-0.011317916493144215,-0.007252764512492418
TYA,0.06318456246657016,-0.05594530737232261,-0.02417634879934998,-0.038637429555075604
UIC,0.062064719142871455,-0.05210480090930355,-0.013575037247381617,-0.06130262344530019
VAB,0.06866678350722787,-0.03263528488658321,-0.034317638807150046,-0.006115291787720863
VCA,0.054022644700589616,-0.07495298667810793,0.05076102723857251,0.012121899971674632
VCB,0.003792638737216193,0.11200004129877336,-0.08637766130584223,0.023155684586587708
VCI,0.060391786241506665,0.05766796264981094,-0.02504064530643546,-0.011165855341456322
VDS,0.05418776754451887,0.08096490061818051,-0.025827507515880244,-0.02302868875817181
VFG,0.04592872426808429,0.033850038561634016,-0.006157296974150336,-0.10877374125838886
VGC,0.041742564002650924,0.04656504659369756,0.11673816377947292,-0.0005630578912204646
VHM,0.062380906152597816,-0.03976401634121512,-0.06008035135607961,0.043577394064613466
VIB,0.06273357406406782,0.047946651649718564,-0.05522004991352738,-0.01400907431337528
VIC,0.05702160594605908,-0.0624742972695923,-0.04614071819634342,-0.01132777107932526
VID,0.06281857285519356,-0.05423157076556162,0.020072054615630927,-0.054937940784071715
VIP,-0.0024829217725113205,0.11346211882705723,-0.09362354360954332,0.04758382899349695
VIX,0.03899885215477068,0.1031153506309377,7.215562201529091e-05,-0.021270229645627144
VJC,0.05317432331651858,-0.05741315497590206,0.07613488546878458,-0.058036116437728894
VMD,0.056211748938110345,-0.03454597806914134,-0.0809621098652771,0.051138697534165514
VND,0.0694297205218588,0.015277915973809921,0.03655697932507016,0.002098911045226688
VNE,0.05652983614337695,-0.03366207371151958,-0.10780321507836002,0.06448704897183993
VNG,0.06038693668907533,-0.037356948898297035,0.008324466402566967,0.043447275451360824
VNL,0.05661283053445,0.031217316152056324,-0.11057873964892126,-0.06427228903601118
VNM,0.02072235000554267,-0.02222342520849234,-0.09648814100242195,-0.13351536850548995
VOS,0.06616967468870202,-0.014742913696062138,0.019730346197013977,0.03755328411929361
VPB,0.0552836472256447,0.05367513135260103,-0.06569036633716158,0.023922151317003686
VPD,-0.05575956111946785,0.0318074212039802,-0.011290064498240649,0.02316556929840413
VPG,0.06721810441482826,-0.02662895975681181,0.05608036567960476,0.01486429272365366
VPI,0.04288217744981948,-0.06869560857775821,0.08854176189812923,-0.0628032600071969
VRC,0.06807935504883955,-0.014782584236614646,-0.06529669266354622,0.010092545831760447
VRE,0.04631551499314014,-0.03903453832332327,-0.13001892105970406,0.031025279446819643
VSC,0.061647998467566544,-0.036923727632318194,0.04445542941660885,-0.019880141793012576
VSH,-0.017268334383411806,0.09334444328176358,0.10710024755003114,0.09596454036915979
VTB,0.030638426546725668,-0.07108335577475743,-0.043075393084487795,-0.0716775513525906
VTO,0.05496916636043193,0.057196440529517195,-0.08501408917455143,-0.030529333934202887
VTP,0.055722197677139394,0.0536192022374728,0.09817125240610919,-0.03972226023953496
YBM,0.05506217039000267,0.07237328793244642,0.03903733541572882,-0.02233619175668423
YEG,0.06641319829819838,0.00936299141208885,0.014318144871799863,-0.053719194821455325
